"maTin","loai","tinhThanhPho","diaChi","giaCa","dienTich","ngayDangTin","ngayHetHan","duongpho","matTienM","duongVaoM","soTang","soPhongTam","noiThat","tienIchKemTheo","phapLy","soPhongNgu","dacDiemXaHoi","huongNha","huongBanCong","duAn"
"504046","Nhà riêng","Tứ Hiệp, Thanh Trì, Hà Nội","Tứ Hiệp","300 Triệu","35 m²","19/08/2020","03/10/2020","Tứ Hiệp",,,"5",,,,,"6",,,,
"504045","Nhà riêng","Đội Cấn, Ba Đình, Hà Nội","Đội Cấn, Đội Cấn, Ba Đình, Hà Nội","3,1 Tỷ","40 m²","19/08/2020","03/10/2020","Đội Cấn",,,,,,,,,,,,
"504043","Nhà riêng","Hạ Đình, Thanh Xuân, Hà Nội","Khương Đình, Hạ Đình, Thanh Xuân, Hà Nội","3,4 Tỷ","36 m²","19/08/2020","03/10/2020","Khương Đình",,,"5",,,,,"4",,,,
"504042","Căn hộ Cao cấp","Trung Văn, Nam Từ Liêm, Hà Nội","Lê Văn Lương, Trung Văn, Nam Từ Liêm, Hà Nội","2,17 Tỷ","79 m²","19/08/2020","03/10/2020","Lê Văn Lương",,,"10","2",,,"Sổ đỏ","2",,"Tây-Nam","Đông-Nam",
"504041","Nhà riêng","Khương Đình, Thanh Xuân, Hà Nội","Vũ Tông Phan, Khương Đình, Thanh Xuân, Hà Nội","10 Tỷ","100 m²","19/08/2020","03/10/2020","Vũ Tông Phan",,,"5","3",,,"Sổ đỏ","5",,,,
"504037","Nhà riêng","Yên Nghĩa, Hà Đông, Hà Nội","Yên Nghĩa, Hà Đông, Hà Nội","1,68 Tỷ","38 m²","19/08/2020","03/09/2020",,"3.5","5","4","3","Tủ bếp,Bồn rửa mặt",,"Sổ hồng","4","Gần trường,Gần nhà trẻ,Gần chợ","Đông-Bắc","Đông-Bắc",
"504036","Căn hộ chung cư","Đa Tốn, Gia Lâm, Hà Nội","Hoàn Kiếm, Hà Nội","2 Tỷ","70 m²","19/08/2020","03/10/2020","Đa Tốn",,,"1","2",,,,"3",,,,
"504032","Nhà riêng","Phúc La, Hà Đông, Hà Nội","Phúc La, Hà Đông, Hà Nội","2,9 Tỷ","38 m²","19/08/2020","03/10/2020",,"4.35","4","5","3",,,"Sổ đỏ","4",,"Nam","Nam",
"504030","Căn hộ Cao cấp","Cầu Giấy, Hà Nội","Cầu Giấy, Hà Nội","2,5 Tỷ","65 m²","19/08/2020","03/10/2020",,,,,,,,,,,,,
"494407","Nhà riêng","Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội","Cổ Nhuế, Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội","4,3 Tỷ","60 m²","19/08/2020","03/10/2020","Cổ Nhuế","4","3","4","3","Bàn ăn,Bàn trà,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Hệ thống an ninh","Sổ đỏ","4","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ","Tây-Nam","Tây-Nam",
"504029","Nhà biệt thự","Yên Hòa, Cầu Giấy, Hà Nội","Yên Hòa, Cầu Giấy, Hà Nội","32 Tỷ","180 m²","19/08/2020","03/10/2020",,,,,,,,,,,,,
"504024","Nhà riêng","Yên Nghĩa, Hà Đông, Hà Nội","Yên Nghĩa, Hà Đông, Hà Nội","3,2 Tỷ","52 m²","19/08/2020","03/10/2020",,,,,,,,,,,,,
"504023","Đất nền khu dân cư","Bồ Đề, Long Biên, Hà Nội","Bồ Đề, Bồ Đề, Long Biên, Hà Nội","3,5 Tỷ","66 m²","19/08/2020","03/10/2020","Bồ Đề",,"3.5",,,,,"Sổ đỏ",,,,,
"504021","Đất nền khu dân cư","Trâu Quỳ, Gia Lâm, Hà Nội","Cửu Việt 1, Trâu Quỳ, Gia Lâm, Hà Nội","32 Triệu/m²","80 m²","19/08/2020","18/10/2020","Cửu Việt 1",,,,,,,,,,,,
"504019","Nhà riêng","Bưởi, Tây Hồ, Hà Nội","Lạc Long Quân Phường Bưởi, Tây Hồ, Hà Nội","3,2 Tỷ","60 m²","19/08/2020","03/10/2020","Lạc Long Quân",,,"5","4",,,,"4",,,,
"504017","Nhà mặt phố","Kim Liên, Đống Đa, Hà Nội","Trường chinh - đống đa","7,3 Tỷ","50 m²","19/08/2020","03/10/2020","Trường Chinh",,,"5","4",,,,"5",,,,
"504013","Căn hộ trung cấp","Cầu Giấy, Hà Nội","Cầu Giấy, Hà Nội","Thỏa thuận/m²","80 m²","19/08/2020","03/10/2020",,,,,,,,,,,,,
"504010","Nhà riêng","Hai Bà Trưng, Hà Nội","Bạch Mai, Hai Bà Trưng, Hà Nội","300 Triệu","35 m²","19/08/2020","03/10/2020","Bạch Mai",,,"3","2",,,,"2",,,,
"504009","Nhà mặt phố","Vĩnh Hưng, Hoàng Mai, Hà Nội","Thanh Lân, Vĩnh Hưng, Hoàng Mai, Hà Nội","5,5 Tỷ","45 m²","19/08/2020","03/10/2020","Thanh Lân",,"10","5","4","Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Hồ bơi,Truyền hình cáp,Internet","Sổ đỏ","4","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,"Đông-Nam",
"504008","Nhà riêng","Dương Quang, Gia Lâm, Hà Nội","Dương Quang","1,59 Tỷ","90 m²","19/08/2020","03/10/2020","Dương Quang",,,"2","1",,,,"3",,,,
"504007","Nhà mặt phố","Đống Đa, Hà Nội","Nguyễn Khuyến Đống Đa Hà Nội","18 Tỷ","78 m²","19/08/2020","03/10/2020","Nguyễn Khuyến",,,"2","1",,,,"3",,,,
"504004","Nhà riêng","Nguyễn Trãi, Hà Đông, Hà Nội","Tô Hiệu, Nguyễn Trãi, Hà Đông, Hà Nội","5,5 Tỷ","62 m²","19/08/2020","03/10/2020","Tô Hiệu",,"6","4","3",,,,"4",,,,
"504000","Căn hộ trung cấp","Mỹ Đình 1, Nam Từ Liêm, Hà Nội","Trần Bình, Mỹ Đình 1, Nam Từ Liêm, Hà Nội","2,25 Tỷ","75 m²","19/08/2020","03/10/2020","Trần Bình",,,"5","2","Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Tủ bếp,Bình nóng lạnh,Điều hòa","Chỗ để xe máy,Chỗ để ôtô,Hệ thống an ninh,Nhân viên bảo vệ,Truyền hình cáp,Internet","Sổ đỏ","2","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Khu dân trí cao,Gần chợ","Bắc","Nam",
"503991","Nhà mặt phố","Nhật Tân, Tây Hồ, Hà Nội","Nhật Chiêu, Nhật Tân, Tây Hồ, Hà Nội","35 Tỷ","85 m²","19/08/2020","03/10/2020","Nhật Chiêu",,,"7","1",,,,,,,,
"503990","Nhà riêng","Vĩnh Phúc, Ba Đình, Hà Nội","Hoàng Hoa Thám, Vĩnh Phúc, Ba Đình, Hà Nội","3,6 Tỷ","34 m²","19/08/2020","03/10/2020","Hoàng Hoa Thám",,,,,,,"Sổ đỏ",,,,,
"503989","Căn hộ Cao cấp","Tây Mỗ, Nam Từ Liêm, Hà Nội","Tây Mỗ, Nam Từ Liêm, Hà Nội","2,8 Tỷ","76 m²","19/08/2020","03/10/2020",,,,,,,,,,,"Tây-Nam","Đông-Bắc",
"503988","Đất nền","Biên Giang, Hà Đông, Hà Nội","An Thắng, Biên Giang, Hà Đông, Hà Nội","2 Tỷ","100 m²","19/08/2020","03/10/2020","An Thắng","5","5",,,,,,,,"Đông-Nam","Đông-Nam",
"503984","Nhà riêng","Long Biên, Hà Nội","Long Biên, Hà Nội","2,35 Tỷ","90 m²","19/08/2020","03/10/2020",,,,,,,,,,,,,
"503983","Đất nền khu dân cư","Bắc Hồng, Đông Anh, Hà Nội","Bắc Hồng, Bắc Hồng, Đông Anh, Hà Nội","Thỏa thuận/m²","100 m²","19/08/2020","03/10/2020","Bắc Hồng",,,,,,,,,,,,
"503981","Căn hộ trung cấp","Đông Ngạc, Bắc Từ Liêm, Hà Nội","Phạm Văn Đồng, Đông Ngạc, Bắc Từ Liêm, Hà Nội","2,3 Tỷ","90 m²","19/08/2020","03/10/2020","Phạm Văn Đồng",,,,"2",,,"Sổ hồng","2",,"Tây-Bắc","Đông-Nam",
"503980","Nhà riêng","Tứ Liên, Tây Hồ, Hà Nội","Âu Cơ, Tứ Liên, Tây Hồ, Hà Nội","2,6 Tỷ","30 m²","19/08/2020","03/10/2020","Âu Cơ",,,,,,,,,,,,
"503976","Đất nền khu dân cư","Bắc Hồng, Đông Anh, Hà Nội","Bắc Hồng, Bắc Hồng, Đông Anh, Hà Nội","Thỏa thuận/m²","100 m²","19/08/2020","03/10/2020","Bắc Hồng",,,,,,,,,,,,
"503974","Nhà riêng","Bưởi, Tây Hồ, Hà Nội","Thụy Khuê, Bưởi, Tây Hồ, Hà Nội","3,15 Tỷ","36 m²","19/08/2020","03/10/2020","Thụy Khuê",,,,,,,"Sổ đỏ",,,,,
"503971","Nhà riêng","Khương Đình, Thanh Xuân, Hà Nội","Bùi Xương Trạch, Khương Đình, Thanh Xuân, Hà Nội","3,65 Tỷ","35 m²","19/08/2020","03/10/2020","Bùi Xương Trạch","3.1","3","5","4",,,,"4",,,,
"503968","Căn hộ Cao cấp","Phú Diễn, Bắc Từ Liêm, Hà Nội","Hồ Tùng Mậu, Phú Diễn, Bắc Từ Liêm, Hà Nội","2,5 Tỷ","77 m²","19/08/2020","03/10/2020","Hồ Tùng Mậu",,,"10","2",,,"Sổ đỏ","2",,,,"Goldmark City"
"503967","Nhà riêng","Bồ Đề, Long Biên, Hà Nội","Bồ Đề, Long Biên, Hà Nội","3,75 Tỷ","40 m²","19/08/2020","03/10/2020",,,,,,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Internet","Sổ đỏ",,"Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao",,,
"503966","Nhà riêng","Nghĩa Đô, Cầu Giấy, Hà Nội","K800A, Nghĩa Đô, Cầu Giấy, Hà Nội","8,3 Tỷ","84 m²","19/08/2020","03/10/2020","K800A",,,,,,,,,,,,
"503964","Nhà riêng","Đống Đa, Hà Nội","Thái Thịnh, Thịnh Quang, Đống Đa","8,7 Tỷ","50 m²","19/08/2020","03/10/2020","Thái Thịnh",,,"5","4",,,,"4",,,,
"503958","Nhà riêng","Nam Từ Liêm, Hà Nội","Hồ Tùng Mậu, Phú Diễn, Nam Từ Liêm","3,1 Tỷ","52 m²","19/08/2020","03/10/2020","Hồ Tùng Mậu",,,"3","3",,,,"3",,,,
"503954","Căn hộ trung cấp","Thanh Xuân, Hà Nội","Thanh Xuân, Hà Nội","2 Tỷ","100 m²","19/08/2020","18/10/2020",,"10",,,,,,,,,"Đông-Bắc",,
"503951","Nhà riêng","Ngã Tư Sở, Đống Đa, Hà Nội","Láng, Ngã Tư Sở, Đống Đa, Hà Nội","4,6 Tỷ","41 m²","19/08/2020","03/10/2020","Láng",,,,,,,,,,,,
"503944","Nhà riêng","Đống Đa, Hà Nội","Tôn Thất Tùng","9,5 Tỷ","60 m²","19/08/2020","03/10/2020","Huỳnh Thúc Kháng",,,"5","4",,,,"3",,,,
"503942","Nhà riêng","Cầu Giấy, Hà Nội","Trung Hòa,Cầu Giấy Hà Nội","7,3 Tỷ","40 m²","19/08/2020","03/10/2020","Trung Hòa",,,"3","2",,,,"2",,,,
"503939","Căn hộ trung cấp","Đặng Xá, Gia Lâm, Hà Nội","5, Đặng Xá, Gia Lâm, Hà Nội","1,02 Tỷ","70 m²","19/08/2020","03/10/2020","5",,,"2","2",,"Chỗ để xe máy","Sổ đỏ","3","Gần trường,Gần công viên,Gần nhà trẻ,Khu dân trí cao","Tây-Bắc","Đông-Nam","Khu đô thị Đặng Xá 2"
"503935","Nhà riêng","Trương Định, Hai Bà Trưng, Hà Nội","đại la, hai bà trưng, hà nội","3,45 Tỷ","50 m²","19/08/2020","03/10/2020",,,,"5","1",,,,"1",,,,
"503932","Đất nền khu dân cư","Trâu Quỳ, Gia Lâm, Hà Nội","Trâu Quỳ, Gia Lâm, Hà Nội","3,2 Tỷ","52 m²","19/08/2020","03/10/2020",,"3.3","3","1","2",,,"Sổ đỏ","2",,"Tây-Bắc","Tây-Bắc",
"503930","Nhà riêng","Vĩnh Hưng, Hoàng Mai, Hà Nội","Đông Thiên, Vĩnh Hưng, Hoàng Mai, Hà Nội","2,1 Tỷ","31 m²","19/08/2020","03/10/2020","Đông Thiên",,,"5",,,,"Sổ đỏ","3",,,,
"503929","Bất động sản khác","Vĩnh Ngọc, Đông Anh, Hà Nội","Ngọc Giang, Vĩnh Ngọc, Đông Anh, Hà Nội","1,65 Tỷ","41 m²","19/08/2020","03/10/2020","Ngọc Giang","4","4",,,,,,,,"Tây","Tây",
"503927","Nhà riêng","Hai Bà Trưng, Hà Nội","Minh Khai, Vĩnh Tuy , HAI BÀ TRƯNG, hà nội","16 Tỷ","48 m²","19/08/2020","03/10/2020","Minh Khai",,,"5","4",,,,"3",,,,
"503925","Nhà riêng","Mai Dịch, Cầu Giấy, Hà Nội","phạm văn đồng, cầu giấy, ha nội","4 Tỷ","45 m²","19/08/2020","03/10/2020","Phạm Văn Đồng",,,"5","4",,,,"4",,,,
"503912","Nhà riêng","Kim Liên, Đống Đa, Hà Nội","Xã Đàn, Kim Liên, Đống Đa, Hà Nội","4,3 Tỷ","46 m²","19/08/2020","03/10/2020","Xã Đàn",,"3","4","3","Bàn ăn,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt","Chỗ để xe máy","Sổ đỏ","4","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Khu dân trí cao,Gần chợ",,,
"503904","Nhà mặt phố","Tây Hồ, Hà Nội","Tây Hồ, Hà Nội","8,2 Tỷ","48 m²","19/08/2020","03/10/2020",,,,,,,,,,,,,
"503903","Nhà riêng","Phương Liệt, Thanh Xuân, Hà Nội","Nguyễn Lân, Phương Liệt, Thanh Xuân","6,3 Tỷ","63 m²","19/08/2020","03/10/2020",,,,"5","5",,,,"6",,,,
"503900","Nhà riêng","Hà Đông, Hà Nội","Hà Đông, Hà Nội","6,8 Tỷ","50 m²","19/08/2020","03/10/2020",,,,,,,,,,,,,
"503898","Nhà mặt phố","Đống Đa, Hà Nội","Tôn thất tùng","4,7 Tỷ","50 m²","19/08/2020","03/10/2020","Tôn Thất Tùng",,,"5","5",,,,"4",,,,
"503893","Nhà riêng","Khương Trung, Thanh Xuân, Hà Nội","Khương Trung - Thanh Xuân","7,7 Tỷ","35 m²","19/08/2020","03/10/2020","Khương Trung",,,"5","4",,,,"3",,,,
"503889","Nhà riêng","Thanh Trì, Hoàng Mai, Hà Nội","kim giang","4,2 Tỷ","40 m²","19/08/2020","03/10/2020","Kim Giang",,,"5","4",,,,"4",,,,
"503886","Nhà riêng","Thanh Xuân Trung, Thanh Xuân, Hà Nội","Vũ Trọng Phụng","589,999 Triệu","50 m²","19/08/2020","03/10/2020","Vũ Trọng Phụng",,,"5","6",,,,"6",,,,
"503884","Nhà rẻ","Hoàn Kiếm, Hà Nội","Hoàn Kiếm","8 Tỷ","60 m²","19/08/2020","03/10/2020",,,,"5","5",,,,"4",,,,
"503881","Nhà mặt phố","Bạch Đằng, Hai Bà Trưng, Hà Nội","Đầm Trấu, Bạch Đằng, Hai Bà Trưng","8,6 Tỷ","50 m²","19/08/2020","03/10/2020","Đầm Trấu",,,"5","2",,,,"4",,,,
"503879","Nhà riêng","Đống Đa, Hà Nội","Tôn Thất Tùng, Khương Thượng, Đống Đa","2,4 Tỷ","50 m²","19/08/2020","03/10/2020","Tôn Thất Tùng",,,"1","3",,,,"3",,,,
"503876","Nhà riêng","Vĩnh Tuy, Hai Bà Trưng, Hà Nội","Vĩnh Tuy, Vĩnh Tuy, Hai Bà Trưng, Hà Nội","1,75 Tỷ","25 m²","19/08/2020","03/10/2020","Vĩnh Tuy",,,"4","3","Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm",,"Sổ đỏ","3","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,"Đông-Nam",
"503875","Nhà riêng","Quan Hoa, Cầu Giấy, Hà Nội","Nguyễn Khánh Toàn, Quan Hoa, Cầu giấy, Hà Nội","3,65 Tỷ","50 m²","19/08/2020","03/10/2020","Nguyễn Khánh Toàn",,,"4","3",,,,"4",,,,
"503872","Nhà mặt phố","Lĩnh Nam, Hoàng Mai, Hà Nội","Lĩnh Nam, Hoàng Mai, Hà Nội","3,35 Tỷ","58 m²","19/08/2020","03/10/2020",,,,,,,,,,,,,
"503871","Nhà riêng","Ba Đình, Hà Nội","Ba Đình, Hà Nội","50 Tỷ","220 m²","19/08/2020","03/10/2020",,,,,,,,"Sổ đỏ",,,,,
"503867","Nhà riêng","Quang Trung, Đống Đa, Hà Nội","Chùa Bộc, TRung Tự, Đống Đa, Hà Nội","4 Tỷ","36 m²","19/08/2020","03/10/2020","Chùa Bộc",,,"5","4",,,,"5",,,,
"503864","Nhà mặt phố","Phương Liên, Đống Đa, Hà Nội","Đê La Thành, Phương Liên, Đống Đa, Hà Nội","7,3 Tỷ","31 m²","19/08/2020","03/10/2020","Đê La Thành","5.2","6","3",,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Hệ thống an ninh,Truyền hình cáp,Internet","Sổ đỏ","3","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,,
"503861","Nhà riêng","Trâu Quỳ, Gia Lâm, Hà Nội","Chính Trung, Trâu Quỳ, Gia Lâm, Hà Nội","Thỏa thuận/m²","100 m²","19/08/2020","18/10/2020","Chính Trung",,,,,,,,,,,,
"503860","Nhà riêng","Kim Liên, Đống Đa, Hà Nội","Lương Định Của, Kim Liên, Đống Đa, Tp. Hà Nội","3,5 Tỷ","38 m²","19/08/2020","03/10/2020","Lương Định Của",,,"5","4",,,,"4",,,,
"503856","Đất nền khu dân cư","Trâu Quỳ, Gia Lâm, Hà Nội","Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội","120 Triệu/m²","58 m²","19/08/2020","18/10/2020","Ngô Xuân Quảng",,,,,,,,,,,,
"503855","Nhà riêng","Khương Đình, Thanh Xuân, Hà Nội","Khương Hạ","270 Triệu","33 m²","19/08/2020","03/10/2020","Khương Hạ",,,"4","4",,,,"4",,,,
"503854","Căn hộ trung cấp","Đại Mỗ, Nam Từ Liêm, Hà Nội","70, Đại Mỗ, Nam Từ Liêm, Hà Nội","16,8 Triệu/m²","63 m²","19/08/2020","03/10/2020","70","5","10","10","2",,"Chỗ để xe máy,Chỗ để ôtô,Trung tâm thể dục,Hệ thống an ninh,Nhân viên bảo vệ,Hồ bơi,Truyền hình cáp,Internet","Sổ hồng","2","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ","Tây","Đông","FLC Garden City"
"503851","Nhà mặt phố","Đống Đa, Hà Nội","Phố Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội","3,88 Tỷ","40 m²","19/08/2020","03/10/2020","Thái Hà",,,"5","4",,,,"5",,,,
"503849","Nhà riêng","Liễu Giai, Ba Đình, Hà Nội","Văn Cao, Liễu Giai, Ba Đình, Hà Nội","3,15 Tỷ","35 m²","19/08/2020","03/10/2020","Văn Cao","5,85",,"4","3",,,,"4","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,,
"503846","Nhà riêng","Đống Đa, Hà Nội","Hoàng Cầu, Đống Đa, Hà Nội","3,85 Tỷ","45 m²","19/08/2020","03/10/2020","Hoàng Cầu",,,"5","4",,,,"5",,,,
"503838","Nhà riêng","Tây Hồ, Hà Nội","Thuỵ Khuê Tây Hồ Hà Nội","13 Tỷ","85 m²","19/08/2020","03/10/2020",,,,"8","1",,,,"1",,,,
"503837","Nhà riêng","Tây Hồ, Hà Nội","Thuỵ Khuê Tây Hồ Hà Nội","13 Tỷ","85 m²","19/08/2020","03/10/2020",,,,"8","1",,,,"1",,,,
"503835","Nhà riêng","Tương Mai, Hoàng Mai, Hà Nội","Trương Định","3,6 Tỷ","40 m²","19/08/2020","03/10/2020","Trương Định",,,"6","4",,,,"4",,,,
"503833","Nhà riêng","Hà Đông, Hà Nội","Hà Đông, Hà Nội","1,9 Tỷ","33 m²","19/08/2020","03/10/2020",,,,,,,,,,,,,
"503832","Nhà riêng","Xuân La, Tây Hồ, Hà Nội","Lạc Long Quân, Xuân La, Tây Hồ, Hà Nội","11,5 Tỷ","56 m²","19/08/2020","03/10/2020","Lạc Long Quân","5","5","6","5",,"Chỗ để ôtô","Sổ đỏ","4","Gần trường,Gần nhà trẻ,Gần chợ",,,
"503831","Nhà riêng","Ngã Tư Sở, Đống Đa, Hà Nội","Trường Chinh, Ngã Tư Sở, Đống Đa, Hà Nội","6 Tỷ","85 m²","19/08/2020","03/10/2020","Trường Chinh",,,,,,,"Sổ đỏ",,,,,
"503827","Nhà mặt phố","Yên Hòa, Cầu Giấy, Hà Nội","Nguyễn Khang, Yên Hòa, Cầu Giấy, Hà Nội","29 Tỷ","89 m²","19/08/2020","03/10/2020","Nguyễn Khang","4.5","6","8",,"Bàn ăn,Bàn trà,Sofa phòng khách,Kệ ti vi,Giường ngủ,Tủ quần áo,Sàn gỗ/đá,Trần thả,Tủ bếp,Bình nóng lạnh,Điều hòa,Bồn rửa mặt,Bồn tắm","Chỗ để xe máy,Chỗ để ôtô,Hệ thống an ninh,Nhân viên bảo vệ,Truyền hình cáp,Internet","Sổ đỏ","5","Gần trường,Gần bệnh viện,Gần công viên,Gần nhà trẻ,Tiện kinh doanh,Khu dân trí cao,Gần chợ",,,
"503824","Nhà riêng","Hai Bà Trưng, Hà Nội","Thịnh Yên","12 Tỷ","96 m²","19/08/2020","03/10/2020","Thịnh Yên",,,"4","3",,,,"6",,,,
"503820","Nhà riêng","Thanh Xuân, Hà Nội","Thanh Xuân, Hà Nội","4,2 Tỷ","42 m²","19/08/2020","03/10/2020",,,,"5",,,,,"6",,,,
"503815","Nhà mặt phố","Đống Đa, Hà Nội","Tôn thất tùng","4,7 Tỷ","50 m²","19/08/2020","03/10/2020","Tôn Thất Tùng",,,"5","5",,,,"4",,,,
"503814","Nhà rẻ","Bắc Hồng, Đông Anh, Hà Nội","Bắc Hồng, Bắc Hồng, Đông Anh, Hà Nội","Thỏa thuận/m²","100 m²","19/08/2020","03/10/2020","Bắc Hồng",,,,,,,,,,,,
"503811","Đất nền khu dân cư","Quốc Oai, Hà Nội","Quốc Oai, Hà Nội","14 Triệu/m²","1027 m²","19/08/2020","29/08/2020",,"15",,,,,,,,,,,
"503809","Nhà mặt phố","Đống Đa, Hà Nội","Nguyễn Khuyến Đống Đa Hà Nội","18 Tỷ","78 m²","19/08/2020","03/10/2020","Nguyễn Khuyến",,,"2","1",,,,"3",,,,
